KOI,logAiso,E_logAiso,e_logAiso
K01898,9.98,0.07,0.07
K01901,9.41,0.17,0.29
K01904,9.37,0.45,0.61
K01905,9.5,0.39,0.46
K01909,9.44,0.22,0.35
K01913,9.22,0.32,0.73
K01915,9.49,0.04,0.04
K01917,9.73,0.11,0.14
K01921,9.36,0.07,0.08
K01922,9.86,0.09,0.13
K01923,9.13,0.42,0.54
K01924,9.34,0.11,0.03
K01925,9.6,0.28,0.21
K01928,9.23,0.21,0.48
K01929,9.9,0.03,0.03
K01930,9.81,0.03,0.03
K01931,8.99,0.37,0.46
K01938,9.96,0.14,0.27
K01944,8.66,0.57,0.27
K01945,9.62,0.24,0.38
K01947,9.58,0.1,0.15
K01951,9.91,0.05,0.06
K01952,9.96,0.07,0.08
K01955,9.45,0.05,0.07
K01958,9.55,0.2,0.36
K01960,9.81,0.08,0.1
K01961,10.12,0.01,0.03
K01964,10.03,0.07,0.1
K01970,9.4,0.33,0.46
K01978,9.38,0.3,0.39
K01979,9.89,0.07,0.09
K01980,9.0,0.41,0.45
K01984,9.36,0.19,0.24
K01985,9.46,0.41,0.42
K01988,9.16,0.56,0.58
K01989,9.52,0.21,0.33
K01992,10.07,0.03,0.04
K02001,9.06,0.5,0.5
K02002,9.47,0.2,0.35
K02004,9.87,0.04,0.15
K02007,9.09,0.38,0.43
K02009,10.12,0.02,0.03
K02010,9.39,0.08,0.08
K02011,9.36,0.08,0.26
K02012,9.08,0.34,0.51
K02016,9.56,0.08,0.08
K02017,9.18,0.23,0.4
K02022,8.74,0.42,0.34
K02026,9.28,0.26,0.46
K02029,9.23,0.41,0.3
K02035,9.12,0.28,0.53
K02037,9.31,0.43,0.5
K02038,9.14,0.34,0.53
K02039,8.91,0.41,0.4
K02040,9.86,0.11,0.16
K02043,9.89,0.08,0.09
K02044,9.39,0.3,0.45
K02046,9.97,0.03,0.04
K02047,9.65,0.1,0.12
K02048,9.9,0.17,0.36
K02049,9.7,0.08,0.08
K02051,10.0,0.06,0.07
K02053,9.62,0.07,0.07
K02071,9.42,0.27,0.37
K02072,10.0,0.04,0.05
K02073,9.33,0.42,0.55
K02076,9.03,0.33,0.44
K02079,9.35,0.27,0.33
K02081,9.41,0.06,0.04
K02082,9.46,0.09,0.1
K02086,9.95,0.04,0.05
K02087,9.21,0.26,0.27
K02092,9.8,0.22,0.43
K02093,9.4,0.23,0.41
K02094,10.1,0.03,0.07
K02098,9.61,0.08,0.06
K02105,9.58,0.18,0.23
K02109,9.61,0.11,0.06
K02110,9.22,0.08,0.13
K02111,9.15,0.38,0.5
K02115,9.57,0.34,0.53
K02119,9.13,0.37,0.54
K02120,9.39,0.38,0.41
K02135,9.59,0.08,0.05
K02137,9.98,0.11,0.18
K02143,9.06,0.38,0.53
K02147,10.11,0.02,0.03
K02148,9.74,0.12,0.06
K02149,9.43,0.05,0.03
K02153,9.72,0.07,0.08
K02158,10.07,0.05,0.08
K02159,9.28,0.26,0.38
K02162,10.09,0.04,0.06
K02167,9.27,0.33,0.47
K02168,9.82,0.04,0.04
K02169,9.27,0.33,0.53
K02173,9.22,0.39,0.58
K02175,9.81,0.02,0.02
K02183,9.78,0.14,0.22
K02188,10.12,0.02,0.04
K02194,10.11,0.02,0.03
K02195,9.75,0.07,0.08
K02201,9.49,0.04,0.04
K02202,8.7,0.39,0.25
K02208,9.75,0.1,0.12
K02218,10.04,0.05,0.05
K02219,9.19,0.47,0.48
K02220,9.93,0.06,0.07
K02228,9.29,0.05,0.03
K02236,9.69,0.25,0.46
K02246,9.95,0.1,0.14
K02250,9.45,0.38,0.55
K02252,9.39,0.12,0.04
K02260,9.56,0.08,0.08
K02261,9.15,0.38,0.61
K02273,9.26,0.24,0.27
K02278,9.98,0.04,0.04
K02279,9.74,0.09,0.11
K02281,9.24,0.43,0.58
K02289,9.62,0.09,0.09
K02290,9.66,0.32,0.57
K02295,10.13,0.01,0.01
K02300,9.52,0.35,0.45
K02312,9.53,0.03,0.03
K02319,9.65,0.09,0.1
K02331,9.85,0.06,0.09
K02332,10.04,0.03,0.03
